warning: `VIRTUAL_ENV=/opt/venv` does not match the project environment path `.venv` and will be ignored; use `--active` to target the active environment instead
Bytecode compiled 8557 files in 246ms
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 5, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 6,291,456
  lm_head                 : 2,097,152
  transformer_matrices    : 3,932,352
  scalars                 : 10
  total                   : 14,418,122
Estimated FLOPs per token: 5.819712e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.010783 | lrm: 1.00 | dt: 2228ms | tok/sec: 29,409 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.938978 | lrm: 1.00 | dt: 2086ms | tok/sec: 31,418 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.706007 | lrm: 1.00 | dt: 2089ms | tok/sec: 31,367 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.395015 | lrm: 1.00 | dt: 2092ms | tok/sec: 31,334 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.092858 | lrm: 1.00 | dt: 2094ms | tok/sec: 31,300 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.774053 | lrm: 1.00 | dt: 2102ms | tok/sec: 31,184 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.502744 | lrm: 1.00 | dt: 2100ms | tok/sec: 31,202 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.287629 | lrm: 1.00 | dt: 2105ms | tok/sec: 31,133 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.097019 | lrm: 1.00 | dt: 2103ms | tok/sec: 31,160 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.941905 | lrm: 1.00 | dt: 2110ms | tok/sec: 31,065 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.795839 | lrm: 1.00 | dt: 2108ms | tok/sec: 31,083 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.666202 | lrm: 1.00 | dt: 2112ms | tok/sec: 31,025 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 6.579681 | lrm: 1.00 | dt: 2112ms | tok/sec: 31,032 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00013 (1.4%) | loss: 6.508052 | lrm: 1.00 | dt: 2110ms | tok/sec: 31,055 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00014 (2.1%) | loss: 6.431713 | lrm: 1.00 | dt: 2110ms | tok/sec: 31,063 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00015 (2.8%) | loss: 6.363480 | lrm: 1.00 | dt: 2112ms | tok/sec: 31,028 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00036 (17.7%) | loss: 5.629816 | lrm: 1.00 | dt: 2117ms | tok/sec: 30,962 | mfu: 0.2% | epoch: 1 | remaining: 245s    
step 00037 (18.4%) | loss: 5.612969 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,794 | mfu: 0.2% | epoch: 1 | remaining: 243s    
step 00038 (19.1%) | loss: 5.600322 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,799 | mfu: 0.2% | epoch: 1 | remaining: 241s    
step 00039 (19.8%) | loss: 5.578900 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,735 | mfu: 0.2% | epoch: 1 | remaining: 238s    
step 00040 (20.5%) | loss: 5.550950 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,787 | mfu: 0.2% | epoch: 1 | remaining: 236s    
step 00041 (21.2%) | loss: 5.536230 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,790 | mfu: 0.2% | epoch: 1 | remaining: 234s    
step 00042 (21.9%) | loss: 5.521711 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,737 | mfu: 0.2% | epoch: 1 | remaining: 232s    
step 00043 (22.6%) | loss: 5.524792 | lrm: 1.00 | dt: 2126ms | tok/sec: 30,821 | mfu: 0.2% | epoch: 1 | remaining: 230s    
step 00044 (23.3%) | loss: 5.516123 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,788 | mfu: 0.2% | epoch: 1 | remaining: 228s    
step 00045 (24.1%) | loss: 5.492364 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,768 | mfu: 0.2% | epoch: 1 | remaining: 226s    
step 00046 (24.8%) | loss: 5.479090 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,750 | mfu: 0.2% | epoch: 1 | remaining: 224s    
step 00047 (25.5%) | loss: 5.467392 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,793 | mfu: 0.2% | epoch: 1 | remaining: 221s    
step 00048 (26.2%) | loss: 5.447068 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,742 | mfu: 0.2% | epoch: 1 | remaining: 219s    
step 00049 (26.9%) | loss: 5.424513 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,786 | mfu: 0.2% | epoch: 1 | remaining: 217s    
step 00050 (27.6%) | loss: 5.404501 | lrm: 1.00 | dt: 2133ms | tok/sec: 30,727 | mfu: 0.2% | epoch: 1 | remaining: 215s    
step 00051 (28.3%) | loss: 5.379849 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,794 | mfu: 0.2% | epoch: 1 | remaining: 213s    
step 00052 (29.0%) | loss: 5.368835 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,751 | mfu: 0.2% | epoch: 1 | remaining: 211s    
step 00053 (29.7%) | loss: 5.350524 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,770 | mfu: 0.2% | epoch: 1 | remaining: 209s    
step 00054 (30.4%) | loss: 5.328314 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,798 | mfu: 0.2% | epoch: 1 | remaining: 207s    
step 00055 (31.2%) | loss: 5.309124 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,745 | mfu: 0.2% | epoch: 1 | remaining: 204s    
step 00056 (31.9%) | loss: 5.296820 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,769 | mfu: 0.2% | epoch: 1 | remaining: 202s    
step 00057 (32.6%) | loss: 5.281719 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,766 | mfu: 0.2% | epoch: 1 | remaining: 200s    
step 00058 (33.3%) | loss: 5.276265 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,780 | mfu: 0.2% | epoch: 1 | remaining: 198s    
step 00059 (34.0%) | loss: 5.261764 | lrm: 1.00 | dt: 2133ms | tok/sec: 30,720 | mfu: 0.2% | epoch: 1 | remaining: 196s    
step 00060 (34.7%) | loss: 5.248949 | lrm: 1.00 | dt: 2127ms | tok/sec: 30,817 | mfu: 0.2% | epoch: 1 | remaining: 194s    
step 00061 (35.4%) | loss: 5.231355 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,762 | mfu: 0.2% | epoch: 1 | remaining: 192s    
step 00062 (36.1%) | loss: 5.214076 | lrm: 1.00 | dt: 2134ms | tok/sec: 30,717 | mfu: 0.2% | epoch: 1 | remaining: 189s    
step 00063 (36.8%) | loss: 5.202583 | lrm: 1.00 | dt: 2134ms | tok/sec: 30,710 | mfu: 0.2% | epoch: 1 | remaining: 187s    
step 00064 (37.5%) | loss: 5.193853 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,756 | mfu: 0.2% | epoch: 1 | remaining: 185s    
step 00065 (38.3%) | loss: 5.160297 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,779 | mfu: 0.2% | epoch: 1 | remaining: 183s    
step 00066 (39.0%) | loss: 5.146160 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,734 | mfu: 0.2% | epoch: 1 | remaining: 181s    
step 00067 (39.7%) | loss: 5.132901 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,765 | mfu: 0.2% | epoch: 1 | remaining: 179s    
step 00068 (40.4%) | loss: 5.114409 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,756 | mfu: 0.2% | epoch: 1 | remaining: 177s    
step 00069 (41.1%) | loss: 5.091152 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,790 | mfu: 0.2% | epoch: 1 | remaining: 175s    
step 00070 (41.8%) | loss: 5.083286 | lrm: 1.00 | dt: 2134ms | tok/sec: 30,710 | mfu: 0.2% | epoch: 1 | remaining: 172s    
step 00071 (42.5%) | loss: 5.078231 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,768 | mfu: 0.2% | epoch: 1 | remaining: 170s    
step 00072 (43.2%) | loss: 5.055699 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,790 | mfu: 0.2% | epoch: 1 | remaining: 168s    
step 00073 (43.9%) | loss: 5.042099 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,797 | mfu: 0.2% | epoch: 1 | remaining: 166s    
step 00074 (44.6%) | loss: 5.017967 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,751 | mfu: 0.2% | epoch: 1 | remaining: 164s    
step 00075 (45.4%) | loss: 5.005095 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,755 | mfu: 0.2% | epoch: 1 | remaining: 162s    
step 00076 (46.1%) | loss: 4.974257 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,785 | mfu: 0.2% | epoch: 1 | remaining: 160s    
step 00077 (46.8%) | loss: 4.970779 | lrm: 1.00 | dt: 2133ms | tok/sec: 30,728 | mfu: 0.2% | epoch: 1 | remaining: 158s    
step 00078 (47.5%) | loss: 4.983886 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,790 | mfu: 0.2% | epoch: 1 | remaining: 155s    
step 00079 (48.2%) | loss: 4.964756 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,775 | mfu: 0.2% | epoch: 1 | remaining: 153s    
step 00080 (48.9%) | loss: 4.975251 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,767 | mfu: 0.2% | epoch: 1 | remaining: 151s    
step 00081 (49.6%) | loss: 4.958211 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,761 | mfu: 0.2% | epoch: 1 | remaining: 149s    
step 00082 (50.3%) | loss: 4.912787 | lrm: 1.00 | dt: 2127ms | tok/sec: 30,804 | mfu: 0.2% | epoch: 1 | remaining: 147s    
step 00083 (51.0%) | loss: 4.929617 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,797 | mfu: 0.2% | epoch: 1 | remaining: 145s    
step 00084 (51.7%) | loss: 4.923531 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,755 | mfu: 0.2% | epoch: 1 | remaining: 143s    
step 00085 (52.5%) | loss: 4.915013 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,750 | mfu: 0.2% | epoch: 1 | remaining: 140s    
step 00086 (53.2%) | loss: 4.897423 | lrm: 1.00 | dt: 2127ms | tok/sec: 30,809 | mfu: 0.2% | epoch: 1 | remaining: 138s    
step 00087 (53.9%) | loss: 4.882127 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,788 | mfu: 0.2% | epoch: 1 | remaining: 136s    
step 00088 (54.6%) | loss: 4.871358 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,760 | mfu: 0.2% | epoch: 1 | remaining: 134s    
step 00089 (55.3%) | loss: 4.873105 | lrm: 1.00 | dt: 2127ms | tok/sec: 30,809 | mfu: 0.2% | epoch: 1 | remaining: 132s    
step 00090 (56.0%) | loss: 4.857153 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,802 | mfu: 0.2% | epoch: 1 | remaining: 130s    
step 00091 (56.7%) | loss: 4.846357 | lrm: 1.00 | dt: 2133ms | tok/sec: 30,728 | mfu: 0.2% | epoch: 1 | remaining: 128s    
step 00092 (57.4%) | loss: 4.838539 | lrm: 1.00 | dt: 2134ms | tok/sec: 30,713 | mfu: 0.2% | epoch: 1 | remaining: 126s    
step 00093 (58.1%) | loss: 4.831822 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,739 | mfu: 0.2% | epoch: 1 | remaining: 123s    
step 00094 (58.8%) | loss: 4.799537 | lrm: 1.00 | dt: 2134ms | tok/sec: 30,716 | mfu: 0.2% | epoch: 1 | remaining: 121s    
step 00095 (59.6%) | loss: 4.786507 | lrm: 1.00 | dt: 2133ms | tok/sec: 30,723 | mfu: 0.2% | epoch: 1 | remaining: 119s    
step 00096 (60.3%) | loss: 4.779386 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,752 | mfu: 0.2% | epoch: 1 | remaining: 117s    
step 00097 (61.0%) | loss: 4.778461 | lrm: 1.00 | dt: 2137ms | tok/sec: 30,667 | mfu: 0.2% | epoch: 1 | remaining: 115s    
step 00098 (61.7%) | loss: 4.776828 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,799 | mfu: 0.2% | epoch: 1 | remaining: 113s    
step 00099 (62.4%) | loss: 4.784110 | lrm: 1.00 | dt: 2133ms | tok/sec: 30,722 | mfu: 0.2% | epoch: 1 | remaining: 111s    
step 00100 (63.1%) | loss: 4.781345 | lrm: 1.00 | dt: 2133ms | tok/sec: 30,727 | mfu: 0.2% | epoch: 1 | remaining: 109s    
step 00101 (63.8%) | loss: 4.776631 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,786 | mfu: 0.2% | epoch: 1 | remaining: 106s    
step 00102 (64.5%) | loss: 4.767382 | lrm: 1.00 | dt: 2133ms | tok/sec: 30,728 | mfu: 0.2% | epoch: 1 | remaining: 104s    
step 00103 (65.2%) | loss: 4.743030 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,780 | mfu: 0.2% | epoch: 1 | remaining: 102s    
step 00104 (66.0%) | loss: 4.754829 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,788 | mfu: 0.2% | epoch: 1 | remaining: 100s    
step 00105 (66.7%) | loss: 4.724107 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,794 | mfu: 0.2% | epoch: 1 | remaining: 98s    
step 00106 (67.4%) | loss: 4.717809 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,767 | mfu: 0.2% | epoch: 1 | remaining: 96s    
step 00107 (68.1%) | loss: 4.713628 | lrm: 1.00 | dt: 2127ms | tok/sec: 30,817 | mfu: 0.2% | epoch: 1 | remaining: 94s    
step 00108 (68.8%) | loss: 4.715465 | lrm: 1.00 | dt: 2127ms | tok/sec: 30,817 | mfu: 0.2% | epoch: 1 | remaining: 92s    
step 00109 (69.5%) | loss: 4.694512 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,774 | mfu: 0.2% | epoch: 1 | remaining: 89s    
step 00110 (70.2%) | loss: 4.705459 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,758 | mfu: 0.2% | epoch: 1 | remaining: 87s    
step 00111 (70.9%) | loss: 4.692493 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,777 | mfu: 0.2% | epoch: 1 | remaining: 85s    
step 00112 (71.6%) | loss: 4.674197 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,775 | mfu: 0.2% | epoch: 1 | remaining: 83s    
step 00113 (72.3%) | loss: 4.673407 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,764 | mfu: 0.2% | epoch: 1 | remaining: 81s    
step 00114 (73.0%) | loss: 4.659540 | lrm: 1.00 | dt: 2134ms | tok/sec: 30,716 | mfu: 0.2% | epoch: 1 | remaining: 79s    
step 00115 (73.8%) | loss: 4.651227 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,751 | mfu: 0.2% | epoch: 1 | remaining: 77s    
step 00116 (74.5%) | loss: 4.641921 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,761 | mfu: 0.2% | epoch: 1 | remaining: 74s    
step 00117 (75.2%) | loss: 4.607217 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,779 | mfu: 0.2% | epoch: 1 | remaining: 72s    
step 00118 (75.9%) | loss: 4.591537 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,732 | mfu: 0.2% | epoch: 1 | remaining: 70s    
step 00119 (76.6%) | loss: 4.590755 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,791 | mfu: 0.2% | epoch: 1 | remaining: 68s    
step 00120 (77.3%) | loss: 4.583736 | lrm: 1.00 | dt: 2126ms | tok/sec: 30,829 | mfu: 0.2% | epoch: 1 | remaining: 66s    
step 00121 (78.0%) | loss: 4.571947 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,740 | mfu: 0.2% | epoch: 1 | remaining: 64s    
step 00122 (78.7%) | loss: 4.567296 | lrm: 1.00 | dt: 2126ms | tok/sec: 30,819 | mfu: 0.2% | epoch: 1 | remaining: 62s    
step 00123 (79.4%) | loss: 4.554927 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,779 | mfu: 0.2% | epoch: 1 | remaining: 60s    
step 00124 (80.1%) | loss: 4.542638 | lrm: 0.99 | dt: 2135ms | tok/sec: 30,695 | mfu: 0.2% | epoch: 1 | remaining: 57s    
step 00125 (80.9%) | loss: 4.540619 | lrm: 0.96 | dt: 2130ms | tok/sec: 30,766 | mfu: 0.2% | epoch: 1 | remaining: 55s    
step 00126 (81.6%) | loss: 4.536845 | lrm: 0.93 | dt: 2131ms | tok/sec: 30,753 | mfu: 0.2% | epoch: 1 | remaining: 53s    
step 00127 (82.3%) | loss: 4.525014 | lrm: 0.90 | dt: 2134ms | tok/sec: 30,703 | mfu: 0.2% | epoch: 1 | remaining: 51s    
step 00128 (83.0%) | loss: 4.519110 | lrm: 0.87 | dt: 2129ms | tok/sec: 30,776 | mfu: 0.2% | epoch: 1 | remaining: 49s    
step 00129 (83.7%) | loss: 4.516892 | lrm: 0.83 | dt: 2131ms | tok/sec: 30,757 | mfu: 0.2% | epoch: 1 | remaining: 47s    
step 00130 (84.4%) | loss: 4.513100 | lrm: 0.80 | dt: 2132ms | tok/sec: 30,739 | mfu: 0.2% | epoch: 1 | remaining: 45s    
step 00131 (85.1%) | loss: 4.492997 | lrm: 0.77 | dt: 2132ms | tok/sec: 30,739 | mfu: 0.2% | epoch: 1 | remaining: 42s    
step 00132 (85.8%) | loss: 4.496788 | lrm: 0.74 | dt: 2134ms | tok/sec: 30,713 | mfu: 0.2% | epoch: 1 | remaining: 40s    
step 00133 (86.5%) | loss: 4.491319 | lrm: 0.71 | dt: 2131ms | tok/sec: 30,751 | mfu: 0.2% | epoch: 1 | remaining: 38s    
step 00134 (87.3%) | loss: 4.486245 | lrm: 0.67 | dt: 2131ms | tok/sec: 30,752 | mfu: 0.2% | epoch: 1 | remaining: 36s    
step 00135 (88.0%) | loss: 4.474947 | lrm: 0.64 | dt: 2133ms | tok/sec: 30,724 | mfu: 0.2% | epoch: 1 | remaining: 34s    
step 00136 (88.7%) | loss: 4.454840 | lrm: 0.61 | dt: 2130ms | tok/sec: 30,766 | mfu: 0.2% | epoch: 1 | remaining: 32s    
step 00137 (89.4%) | loss: 4.453095 | lrm: 0.58 | dt: 2134ms | tok/sec: 30,711 | mfu: 0.2% | epoch: 1 | remaining: 30s    
step 00138 (90.1%) | loss: 4.433099 | lrm: 0.55 | dt: 2128ms | tok/sec: 30,790 | mfu: 0.2% | epoch: 1 | remaining: 28s    
step 00139 (90.8%) | loss: 4.412956 | lrm: 0.51 | dt: 2130ms | tok/sec: 30,773 | mfu: 0.2% | epoch: 1 | remaining: 25s    
step 00140 (91.5%) | loss: 4.402158 | lrm: 0.48 | dt: 2128ms | tok/sec: 30,793 | mfu: 0.2% | epoch: 1 | remaining: 23s    
step 00141 (92.2%) | loss: 4.382941 | lrm: 0.45 | dt: 2129ms | tok/sec: 30,782 | mfu: 0.2% | epoch: 1 | remaining: 21s    
step 00142 (92.9%) | loss: 4.355254 | lrm: 0.42 | dt: 2126ms | tok/sec: 30,818 | mfu: 0.2% | epoch: 1 | remaining: 19s    
step 00143 (93.6%) | loss: 4.328004 | lrm: 0.39 | dt: 2130ms | tok/sec: 30,762 | mfu: 0.2% | epoch: 1 | remaining: 17s    
step 00144 (94.4%) | loss: 4.319117 | lrm: 0.35 | dt: 2129ms | tok/sec: 30,780 | mfu: 0.2% | epoch: 1 | remaining: 15s    
step 00145 (95.1%) | loss: 4.299915 | lrm: 0.32 | dt: 2130ms | tok/sec: 30,765 | mfu: 0.2% | epoch: 1 | remaining: 13s    
step 00146 (95.8%) | loss: 4.310809 | lrm: 0.29 | dt: 2131ms | tok/sec: 30,753 | mfu: 0.2% | epoch: 1 | remaining: 11s    
step 00147 (96.5%) | loss: 4.294341 | lrm: 0.26 | dt: 2129ms | tok/sec: 30,786 | mfu: 0.2% | epoch: 1 | remaining: 8s    
step 00148 (97.2%) | loss: 4.312877 | lrm: 0.23 | dt: 2129ms | tok/sec: 30,787 | mfu: 0.2% | epoch: 1 | remaining: 6s    
step 00149 (97.9%) | loss: 4.317726 | lrm: 0.19 | dt: 2129ms | tok/sec: 30,788 | mfu: 0.2% | epoch: 1 | remaining: 4s    
step 00150 (98.6%) | loss: 4.303719 | lrm: 0.16 | dt: 2130ms | tok/sec: 30,765 | mfu: 0.2% | epoch: 1 | remaining: 2s    
